,Emotion,Text
307,joy,3 hour drive airport Wait airport 2 hours 3 hour plane ride Followed hour drive home #howilovetraveling
308,anger,mau diet curcol di twitter pasti gagal yg tadi makan dikondangansekarang makan pecel lele #LOL ancur sudah diet ku #LOL
309,joy,Eating kitchenhm time month :/
310,fear,concerned room left Durance wished 
311,joy,Great concert w   tonight Amazing crowd yall tomorrow night
312,joy,Looking forward weekend apart working  
313,joy,younger dons ecstatic election 
314,joy,  Tis here Worst city NZ it Grass seed atm Howling NEer blowing air Jan itll pine pollen
315,sad,  paris dream landmust cold thereits mid november COLD HERE weather :(
316,sad,know  mom  Im sad 
317,anger,Mum stingy water Bacardi coke save Barcadi
318,joy,Simplicity lives better Complicity suck joy life
319,joy,Enjoy Friday morning people
320,anger,left broken glass  tyre marks road exasperated shop owner 
322,joy,  Pssssh Were looking snow today Maybe sheet ice too
323,sad,Well cut Jay Cutler fantasy team
324,sad,  attractive people met year mo takes away  
325,anger,looked away  bitter anger eyes 
326,anger,hate people shit taste music Seriously shut up
327,fear,year intend drive snow ESPECIALLY motorway RESPECT mother nature
329,anger,OFFA release details new Access Agreements  Lots new fee waivers (£37m) great Treasury great students
330,fear,talk kids certain looks know exactly do
331,anger,  want anymore  
332,sad,know  poorly test 
336,anger,  Horrible PI callagain Lions up Refs decided happen
337,joy,Right peeps im off got sisters ice skating
338,sad,Sorry  ’ know rule punching 
339,joy,Riot police needed quell pitch invasions  200000 ecstatic Leeds United fans took carnivalstyle street party yesterday team paraded League Championship trophy 
340,joy,got engaged boy choice
341,sad,Determinedly worries root cause despondency tried think cheerfully 
342,joy,Slice life Azumanga Daioh good relax tool busy stressful days
343,sad,reason sad   said  looking kindly 
344,sad,way Inter Rail board ferry Stockholm father called 7 oclock tell uncle died seeing final journey days
345,joy,Henry Tyler described happy woman  afterward unwell 
346,sad,Totally woke thought Christmas morning
347,joy,nice 
348,sad,  left gonna Christmas cause birthday party
349,anger,guy sidewalkHe new boxes  Panasonic video camera boxesHe said rid quick 
350,anger,Ive situation responsibility employee habit late came late promising work minutes arrived 3 hours later drinking
351,anger,Dear God person Whos mind Die (Ameen)
352,joy,thought waking work tomorrow makes feel SICK
353,joy,America 
354,joy,Silver lining today working yummy dinner followed icecream Lakeview
355,fear,found problem homework solved tried best
356,joy,computer magically broke getting readyyy
357,fear,Im afraid viruses now watch video
358,joy,Love highest vibration Universe sends shivers spine #Quote #love #peace #joy
360,fear,know scary realization going paycheck Yeah that Payday painful 13 days away
361,sad,Bathsheba watching expression closely  miserable 
362,joy,headache days straight
363,joy,k im homework dont want spare start debate myself
364,sad,Today wrote quottodoquot list and ooonly thing gone donewas actual writing list
365,sad,learn computer broken March going depressed
367,joy,  fact spend Christmas 90yr old Nana brings :)
368,joy,things well were elatedWhen hardships come were depressed true transcends wave circumstance
369,sad,McColgan  slumped deep dejection  said :  bad race 
370,joy,shit pants Pure gravy 100%
371,joy,#creation joy creation Know nature joy
372,sad,cell phone low battery know charger
373,sad,got christmas presents open
374,fear,song like RT   Drake writing real
375,sad,uncle died loved much sad felt totally helpless
376,joy,nap 6am9pm days
377,joy,  relaxing hot bubble bath complete pamper session brings
378,anger,feet  chair toppling  face livid  knuckles whiteridged aimed 
379,fear,naughty sent away Mum Dad family fostered age 5 Mum Dad 6 legally adopted 14
380,anger,thought good friend tried lie times time height impudence promised come home didnt felt sense anger insult
381,joy,Sitting room personal growth laughter
382,joy,home 10 year olds mountain dew
383,sad,got lost coming  guess know town 
384,anger,Im sure words express feel game Like Im speechless #lordhelpme
385,sad,heartbroken Daniels watched going  moved break golden rule speaking spoken 
386,sad,Wishes   watch friends me Late night rerun tradition
387,joy,Going bed(: getting Christmas pictures tomorrow
388,sad,Ando Knee Injury till Feb :/ #mufc
389,joy,4 hour car ride
390,joy,E domani parodia di Breaking Dawn Grazie degli spoiler Gu
391,joy,Wearing new Maroon shirt (Thank Mom amp Dad awesome surprise) Eating chili Visiting w/ parents cook
392,sad,Summer Katie Bonnie life Bonnies life sucks Haha laying sad spots
393,anger,Anne felt indignant Joe  thought  realised good sense warning 
394,sad,anguished princess  says Morton  told friend :  price public life price longer willing pay  
395,anger,given exam thought measure ability knowledge subject
397,anger,Wheeler s fine face flushed annoyance laughed 
398,joy,theres tremendous power speak blessings wealth success life
399,fear,babe MIA  think crying earlier caused stress  hope dumb
400,anger,went lecture cancelled second time negative attitude lecturer
401,anger,Yes  probably  fair 
402,fear,#manipulate ones actGod gives freedom #ChooseTheGOODInspite evilShow #NoFEAR DEVIL #selfWILL
403,joy,Morning Weather playing today Im dentist later
404,joy,strained  happy smiles lie awful knowledge Alex saw killer  young understand going 
405,fear,  norris green bad remember time got stuck ghetto near sainsburys
406,fear,f*ckin things supposed gone time year SPIDER
407,joy,Joy unspeakable joy overflowing well tongue tell Joy unspeakable joy rises soul lets go
408,fear,Im terribly nervous 
409,sad,Everytime hear East Coast family makes miss usual
410,sad,  Ouu Ouch hurts Dave does Im going cry corner :(
411,joy,head killing ampamp gotta study hard tests tomorrow
412,anger,sports fishermen catch gulls instead fish hooks mistake makes angry
413,sad,  No work like that supposed text TODAY day early X(
414,joy,weeks now ill b hands Spanish bitch
415,joy,time long bath Inspector Morse think pint tea
416,joy,Oh  interesting  Larry Rocky 
417,joy,soon results interview nearly 9000 people attended regions Malawi joy came hearing radio people selected undergo Medical Assistant training LSHS
418,sad,Im sorry  thats bad luck 
419,sad,Yeah bad  actually think know 
420,fear,Niggas Keeping MOUTH aint saying face taking lil guys  #Winning
421,sad,sooooooooooooo phone broken wanna reply texts
422,joy, leave Ill miss 
423,sad,  happens pay card theres balance left pay cash whatever stars
424,joy,Making Money Event 
425,fear,sure boys wuld soon start baffin toilet sefnew hall boys
426,joy,iPods dying cant find charger
427,anger,told Dana longer bear atmosphere city  rightwing bullies  Falangists  deadening work teaching bored resentful students 
428,joy,gave notice vacate apt morn looking fwd telling relatives single poss homeless
429,sad,know  said love  
430,joy,blackberry tom :D woo :$
431,joy,Squashed fat people fallen asleep
432,joy,cant wait meet Matts parents tomorrow new boyfriend Eh kind boyfriend )
433,joy,roanoke night christmas brady bunch
434,fear,quotfear  false evidence appearing real telling fear quot   #mixtapecomingsoon
435,fear,country walked away night Suddenly moved sharply able was
436,sad,  cant maybe ill luck tomorrow lt3 lt3 knwow hat ill xtrafactor tbh
437,joy,Good luck test tomorrow  Well crossing fingers 
438,anger,teachers love pile homework right Christmas break dont
439,fear,Crowe  watching carnage unfold end increasing horror  unfurled strokes class attempt ease situation 
440,joy,Works gunna joy weeek 23 hours
441,fear,wait til feel equipped share God lives step amp bring hope have
442,anger,witnessed episode christmas rage Wooooo hoooooo ♥ watching people lose time year
443,joy,money motive feel sorry you
444,joy,dressed Need write list long piece string ohhh need find victorian Costume Sat amp Sun
445,joy,passed BA exams
446,fear,  Cats afraid water Water=rain Rain=storms Storms=LIGHTNING Panthers Lightning #gobolts
447,fear,me match night vs Knew great blew away
448,sad,dark woods came black man  leading horse arm  tall grey hound saddest face seen creature 
449,fear,Adam: afraid Gen 3:10 ~ Abram: afraid Gen 15:1 ~ Sarah: afraidGen 18:15 ~ Jacob:I afraid Gen 31:31
450,fear,Umm  think water broke  hospital 
452,anger,Clive Greenacre agoraphobic wife started express anger callous behaviour  amazed sexual demands started 
453,sad,      saw santa mall yesterday U needa 10 pic him
456,joy,Working double today
458,anger, guys worked hard  beautiful 
459,joy,boyfriend told loved gave impulsive kiss
460,fear,if u sum bout sum u bout me
461,joy,thanksgiving comes Christmas music
462,fear,Hearing strange noise biology building
464,joy,trade feeling world carrying 4lb baby :D 75 weeks go
465,fear,night walk home past forest Once somebody got stabbed forest imagine attacking hurry up
467,fear,“  afraid tomorrow seen yesterday love today #less”
468,sad,failed Standard 8 Examination time
469,sad,sister coma 3 months (due train accident) brainfunctions disturbed able walk hardly talk
470,anger,father phoned come home vacation longer time look garden animals
471,anger,Wow bomb RT   stolen Hate
472,anger,tell girlfriend 
473,anger,felt wave exasperation rise 
474,anger,Yes  ’  ’ hungry 
475,anger,realized far language course longer catch others
476,sad,brother (5th family) passed away
477,joy,Certainly 
478,fear,horrified look told Daisy sunk pasterns 
479,joy,Check moms closet  Ill bet 
480,sad,wish motivation homework dont
481,sad,certain job Lillehammer wanted much
482,joy,Alain s mother finally went inside rueful shakes head pleased look face  Jenna decided risk 
483,fear,RT“  afraid tomorrow seen yesterday love today #less”
484,anger,mean think funny uptight people normal person rage Lol funny anyways
485,joy,quot99% taking streets Madison Madrid “No pay crisis”
486,joy,“  Studying history exam day #wasteofagoodnapday #nooneneedshistorytobeatrophywife”
487,joy,Find makes wake morning tie long lives live
488,joy,Kanye West kinda lyrical genus
489,joy,Athelstan gasped excitement went round rouse coroner 
490,fear,“To live losing lose point life” — Malcolm #Forbes
491,anger,colleague rude understand subject discussing
493,anger,  u cant hav #sadness #depression r actually ur thought interpretations u moment follow me
494,anger,breakup relationship event upset/sad angry maybe 2/3 weeks later
495,joy,Packers win GODFATHER AMC Thanksgiving Day Knowd Dayz Gawd
496,sad,Nigel despondent 
497,joy,  Terrific Thanksgiving hon #love #peace and#music ) great one
498,joy,good day Im drunk
499,joy, feel elated close tears 
500,joy,Ok  lets 
501,fear,Mon voisin de train dhier soir sest sifflé 7 bières un paquet de nicorette et communiqué avec sa vitre pendant trois heures
502,sad,felt sad right it kind souvenir people right have
503,joy,Music life  grew listing kinds music  amazing sound gives amp Love amp Sex :$ Bea
504,joy,waking lovely maths paper awaiting you
505,joy,heard grapevine getting married 
506,anger,’ 
507,joy,Mungo felt elated  smiling 
508,sad,takes 2 know #happiness is noise 2 appreciate silence amp absence 2 value presence~The Way #hope
509,anger,insulted public
510,fear,greed prevalent United States
511,anger,Love UPS holidays conspire cost comic stores business delivering books waaay late
512,fear,travel alone unescorted time overnight journey train distant place
513,joy,Best thing recent wedding Koreans know asking Im gonna marry girlfriend #sarcasm
514,joy,ready day #library ugh
515,anger,feel like Im getting fat again Oh good #selfloathing
516,sad,change Clares character much hate now
517,sad,got laid today 
518,fear,think funny   bout lakers wont answer tryna hoop hmm
519,anger,weekend wanted absent school sports event teacher refused day like me
520,joy,Look  Bye 
521,sad,Maybe  gets nerves 
522,joy,time maths homework
523,anger,European consumers  pressure group angry chaotic state control potentiallylethal products 
524,anger,HELSINKI  Finland ( AP )  Finnish orchestra Friday completed recording work composer Jean Sibelius vanished century ago miffed criticism 
525,joy,hot chocolate baby grow watching elf
526,anger,Mr Jones exploded anger 
527,fear,time walk drain think Im gonna drop phone it
528,fear,Mise à jour 235 sur mon Galaxy S2
529,sad,looked Phoebe anguished expression nearly honest repentance 
530,sad,miss old Cartoon Network Nickelodeon
531,sad,going vacation Texas summer unable registration
532,joy,overwhelmed scene  
533,sad,McColgan  slumped deep dejection  said :  bad race 
535,joy,obtained good marks subject failed before
536,joy,OMFG opened fridge discovered Screme egg 2 hours ago completely forgotten it Pure
537,fear,warning: continue idea Attention soon experience itCheryl Janecky #loa #anxiety
538,anger,  2 greatest band times creators heavy rock roll Satisfaction 2nd best song time
539,joy,Ah ta aqui em casa vamo madruga hoje lol
540,joy,restaurant boyfriend saw best female friend seeing weeks rejoyced hugged long talk
541,anger,impression arouse anger see angry respects ~Richard M Nixon
542,sad,Damn wanted Blondies opened fridge butter
543,anger, rule 
544,joy,road recovery starts self [re]discovery
545,joy,  done :D Bon bah maintenant il ne te reste plus quà réviser pour les finals
546,fear,U overcome physical amp emotional urges U arrived mind sphere brain Use it #MyProtection
547,joy,Night twitter family Sleeping math final means math ever anatomies turn try kill me
548,joy,Study grind calculus starts tomorrow
550,fear,heartstopping moment think pulled headphones silent library
551,sad,Jessica felt flustered  felt devastated 
552,fear,Ffalse Eevidence Aappearing Rreal
553,joy,OK  want bring 
554,joy,Tomorrow gonna suck ass
556,joy,LIFERT   long time coming cuhz #Joy
558,joy,warden wife  owners Siamese cat  overjoyed Emily reluctantly fed saucer milk  saying stay night 
559,fear,distressed anxious separated friends  rapidly developed colic 
560,joy,Delicious dinner expert hand   waiting home
561,fear,happened  d thought  nervous tingle fingers 
562,sad,let live senior year againplease:(Ill
563,sad,’ sorry  Jim 
564,joy,hope God richly provides enjoyment 1Timothy 6:17
565,joy,Ew feel like wanna puke practice like 20 minutes
566,fear,#faith equivalent power moves backward second moves forward #Choose
567,joy,Anxiously Achingly LOVINGLY Tho firm precepts contrite amp humble heart receive boundless
568,fear,quotDJ Ger Schaeuble: Knows Happen Euro Failsquot lt good confidence
569,sad,child 9 years old died stupid way fell place 1 metre high
571,fear,gorgeous bitch cuuuuhrazy son
572,sad,watching sad film affected deeply
573,sad,Brazilian lover looking increasingly disconsolate 
575,sad,  came picked iPod jam session over
576,joy,WOOOOOOOO Finished Unit 3 portfolio start Unit 4 #SarcasticHashTag
577,sad,told friend going Mexico good
578,fear,“  afraid tomorrow seen yesterday love today #less”
579,joy,Okay Im pretty tired now Going home soon Probs sleep till like 430 Class 9  hahaha
580,fear,poor frightened girl packed things ran  saying going Reno divorce 
581,anger,Yeah  attitude great  ’ unreliable  ’ productive  times  Tuesday instance  fortyfive minutes late morning meeting 
582,sad,moment heart feels like stabbed hard swallow
